ID,CASE,순번,절차,테스트 데이터,시험일자,시험결과,Y/N,결함/이상 내용
UT-AMT-003,"금액
관련 기능: 금액 항목 추출(AMT-001-1)
대상: schema 외 필드",3,허용하지 않은 필드가 있으면 거부하는지 검증한다.,unknown 필드 포함 JSON,2026-09-07,"예상: AI_INVALID_RESPONSE다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_parser_writer.py::test_parser_rejects_unknown_fields
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-004,"금액
관련 기능: 금액 항목 추출(AMT-001-1)
대상: 숫자 유효성",4,음수·정규화 불가능 숫자를 null로 숨기지 않는지 검증한다.,음수·깨진 숫자,2026-09-07,"예상: AI_INVALID_RESPONSE다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_parser_writer.py::test_parser_rejects_invalid_or_negative_numbers
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-005,"금액
관련 기능: 금액 항목 저장(AMT-001-1)
대상: PENDING writer",5,검증된 값과 source revision을 PENDING 행으로 저장하는지 검증한다.,정상 AmountExtractionOut,2026-09-07,"예상: 모든 항목이 PENDING이며 revision이 기록된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_parser_writer.py::test_writer_maps_validated_values_to_pending_rows_and_revisions
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-006,"금액
관련 기능: 금액 재분석(AMT-001-1)
대상: PENDING replace",6,재분석이 미검토 항목만 교체하고 검토 이력을 보존하는지 검증한다.,PENDING·APPROVED 혼합,2026-09-07,"예상: PENDING만 교체된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_parser_writer.py::test_duplicate_write_replaces_only_pending_and_preserves_review_history
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-007,"금액
관련 기능: 금액 계산·합계 검증(AMT-002-1)
대상: VAT 제외",7,부가세 항목을 item_total에서 제외하는지 검증한다.,공급가액+VAT,2026-09-07,"예상: item_total은 공급가액만 포함한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_calculator.py::test_vat_is_excluded_from_item_total
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-008,"금액
관련 기능: 금액 계산·합계 검증(AMT-002-1)
대상: 불일치 검산",8,문서 금액과 계산값이 다르면 고치지 않고 차이를 보고하는지 검증한다.,수량×단가≠기재금액,2026-09-07,"예상: mismatch가 반환되고 원값은 유지된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_calculator.py::test_total_mismatch_is_reported_not_fixed
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-009,"금액
관련 기능: 프로젝트 금액 집계(AMT-002-2)
대상: 통화 일관성",9,서로 다른 통화가 섞이면 집계를 거부하는지 검증한다.,KRW·USD 문서,2026-09-07,"예상: 혼합 통화 오류가 발생한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_calculator.py::test_aggregate_project_rejects_mixed_currency
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-010,"금액
관련 기능: 재분석 유효 스냅샷(AMT-002-2)
대상: 부분 검토 원자 전환",10,부분 승인 중에는 이전 완료 스냅샷을 유지하는지 검증한다.,이전 완료+신규 일부 승인,2026-09-07,"예상: 합계가 급락하지 않고 전체 검토 후 전환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_effective_snapshot.py::test_부분_검토_중에는_이전_완료_스냅샷을_유지하고_완료_후_전환한다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-011,"금액
관련 기능: 프로젝트 금액 집계(AMT-002-2)
대상: 프로젝트·문서별 snapshot",11,문서마다 유효 분석을 고르고 다른 프로젝트를 섞지 않는지 검증한다.,프로젝트 2개·재분석 다건,2026-09-07,"예상: 요청 프로젝트의 유효 행만 반환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_effective_snapshot.py::test_문서마다_다른_유효_분석을_고르고_다른_프로젝트는_섞지_않는다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-012,"금액
관련 기능: 금액 현황(AMT-003-2)
대상: 승인 상태 필터",12,승인·수정 승인만 집계되는지 검증한다.,APPROVED·EDITED·PENDING·REJECTED,2026-09-07,"예상: APPROVED와 EDITED만 집계된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_summary.py::test_only_approved_decisions_are_counted
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-AMT-013,"금액
관련 기능: 금액 항목 승인·수정(AMT-001-2)
대상: review API 상태 전이",13,승인·수정 승인·거절·취소와 허용 수정 필드를 API 수준에서 시험한다.,PENDING 항목 4건,,"예상: 상태·결정자·결정시각과 수정값이 계약대로 저장된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-AMT-014,"금액
관련 기능: 금액 현황·권한(AMT-003-2)
대상: frontend VIEWER·cache",14,VIEWER 탭·직접 URL·API 차단과 분석 완료 후 금액 캐시 무효화를 시험한다.,OWNER·EDITOR·VIEWER 및 완료 job,,"예상: VIEWER는 제한되고 OWNER·EDITOR 화면은 새 집계로 갱신된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음
비고: amount-precedents는 현재 정책상 VIEWER 허용 예외로 별도 기록한다."
UT-RAG-001,"검색·RAG·질의응답
관련 기능: 텍스트 정규화·청킹(RAG-001-1)
대상: 구조 기반 청킹",1,기존 문단·표 구조를 존중해 청크를 만드는지 검증한다.,문단+표 구조 요소,2026-09-07,"예상: 표 행이 깨지지 않고 구조 경계가 유지된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_chunking.py::test_respect_existing_structure
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-002,"검색·RAG·질의응답
관련 기능: 프롬프트 컨텍스트 조립(RAG-002-1)
대상: token budget",2,조립 결과가 예산을 넘지 않는지 검증한다.,긴 청크 다건·budget 4000,2026-09-07,"예상: 최종 컨텍스트가 4000 token 이하다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_context_assembly.py::test_never_exceeds_budget
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-003,"검색·RAG·질의응답
관련 기능: 하이브리드 검색(SRH-004)
대상: RRF",3,벡터·키워드 양쪽 순위를 합산하는지 검증한다.,양쪽에 등장하는 같은 chunk,2026-09-07,"예상: 양쪽 점수 합이 적용된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_search_hybrid.py::test_rrf_sums_both_legs
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-004,"검색·RAG·질의응답
관련 기능: 검색 결과 재순위(SRH-002-1)
대상: reranker 호출",4,하이브리드 경로가 실제 reranker를 호출하는지 검증한다.,후보 다건,2026-09-07,"예상: reranker 결과 순서가 반환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_search_hybrid.py::test_hybrid_path_actually_calls_the_reranker
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-005,"검색·RAG·질의응답
관련 기능: 검색 결과 재순위(SRH-002-1)
대상: reranker 장애 폴백",5,reranker 실패 시 융합 순서로 검색을 계속하는지 검증한다.,reranker 예외,2026-09-07,"예상: 검색 전체가 실패하지 않고 결과를 반환한다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_search_hybrid.py::test_search_survives_a_broken_reranker
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-006,"검색·RAG·질의응답
관련 기능: 키워드 검색(SRH-003)
대상: LIKE wildcard escape",6,사용자 %·_ 문자가 전체 일치로 확장되지 않는지 검증한다.,검색어 %_,2026-09-07,"예상: 와일드카드가 escape된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_search_keyword.py::test_like_pattern_kills_wildcards
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-007,"검색·RAG·질의응답
관련 기능: 키워드 검색(SRH-003)
대상: 비멤버 프로젝트",7,비멤버가 project_id를 지정하면 404인지 검증한다.,비멤버 project_id,2026-09-07,"예상: 존재를 숨기는 404다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_search_keyword.py::test_non_member_project_is_404_not_403
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-008,"검색·RAG·질의응답
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: evidence ID 검증",8,조립하지 않은 evidence ID를 모델이 참조할 수 없는지 검증한다.,범위 밖 evidence ID,2026-09-07,"예상: AI_INVALID_RESPONSE 또는 보류 응답이다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_chat_service.py::test_llm_cannot_reference_an_unassembled_evidence
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-009,"검색·RAG·질의응답
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: 검색 결과 없음",9,검색 결과가 없으면 모델을 호출하지 않는지 검증한다.,검색 0건,2026-09-07,"예상: 근거 없음 응답과 모델 호출 0회다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_chat_service.py::test_no_search_results_returns_without_calling_llm
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-RAG-010,"검색·RAG·질의응답
관련 기능: 검색 품질 측정(RAG-002-2)
대상: 실제 임베딩 평가",10,확정 평가셋과 동일 지표 정의로 R@1을 측정한다.,평가셋·선정 임베딩 모델,,"예상: accuracy@1 정의로 결과를 재현하고 표준 recall과 혼동하지 않는다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음
비고: 모델이 필요한 측정은 재정님·세현님 담당이며 이 산출물에서는 중복 실행하지 않는다."
UT-RAG-011,"검색·RAG·질의응답
관련 기능: 검수 확정 시 재인덱싱(RAG-001-3)
대상: stale 검색 차단",11,OCR 확정 직후 worker 교체 전 낡은 청크가 검색되는 구간을 E2E로 시험한다.,본문 변경 직후 검색,,"예상: 새 청크 반영 전에는 낡은 근거를 최신으로 표시하지 않는다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-LAB-001,"인건비 계산
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: 명시 인월 계산",1,단가×명시 인월을 LLM 없이 계산하는지 검증한다.,"단가 9,500,000원·6인월",2026-09-07,"예상: 57,000,000원과 근거가 반환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_chat_service.py::test_explicit_person_month_quantity_calculates_single_amount_without_llm
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-LAB-002,"인건비 계산
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: 기술자별 인월 계산",2,서로 다른 기술자별 인월을 각 단가에 매핑하는지 검증한다.,기술자 2명·서로 다른 인월,2026-09-07,"예상: 각 항목별 계산 결과가 분리된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_chat_service.py::test_person_month_quantity_calculates_each_technician_amount
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-LAB-003,"인건비 계산
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: 투입률 계산",3,단가×인원×개월×50% 계산의 전용 회귀 시험을 추가한다.,"9,500,000원×2명×3개월×50%",,"예상: 28,500,000원이며 57,000,000원으로 계산하지 않는다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-LAB-004,"인건비 계산
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: 모호한 매핑",4,복수 인원·기간·투입률이 항목에 명확히 연결되지 않으면 계산을 보류한다.,기술자 2명·인월 2개·이름 매핑 없음,,"예상: 임의 배분하지 않고 명확화 질문을 반환한다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-LAB-005,"인건비 계산
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: 경계·반올림",5,0%·100%·100% 초과와 소수 인월의 반올림 정책을 시험한다.,"0%, 100%, 120%, 1.5인월",,"예상: 유효 범위만 계산하고 원 단위 반올림이 일관된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-DLV-001,"산출물
관련 기능: 프로젝트 현황 한 장 생성(DLV-002-2)
대상: PROJECT_STATUS count",1,기간을 무시하고 현재 자료 전체를 세는지 검증한다.,기간 파라미터+현재 자료,2026-09-07,"예상: period는 None이며 현재 건수가 반환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_preview.py::test_project_status_counts_all_without_period
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-002,"산출물
관련 기능: 프로젝트 현황 한 장 생성(DLV-002-2)
대상: 구조화 본문",2,LLM 없이 기본정보·진행상태·주요성과·일정이슈·향후계획을 만드는지 검증한다.,프로젝트·태스크·일정 자료,2026-09-07,"예상: 다섯 절과 현재 자료 표가 생성된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_preview.py::test_preview_content_builds_structured_status_without_llm_call
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-003,"산출물
관련 기능: 주간 보고서 생성(DLV-002-1)
대상: 본문 실제 행",3,DB 재료가 렌더링 본문에 포함되는지 검증한다.,문서·태스크·결정·일정·금액,2026-09-07,"예상: 각 실제 행이 본문에 표시된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_generate.py::test_body_contains_real_rows
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-004,"산출물
관련 기능: 출력 형식(DLV-001-1)
대상: MD·HTML section parity",4,MD와 HTML이 같은 절을 갖는지 검증한다.,같은 DeliverableMaterials,2026-09-07,"예상: 절 제목과 개수가 같다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_html.py::test_both_formats_have_the_same_sections
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-005,"산출물
관련 기능: XLSX 생성(DLV-002)
대상: numeric amount cell",5,XLSX 금액이 문자열이 아닌 숫자 셀인지 검증한다.,금액 항목 1건,2026-09-07,"예상: 금액 셀 데이터형이 숫자다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_xlsx.py::test_amounts_are_numbers_not_text
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-006,"산출물
관련 기능: 갱신 필요 판정(DLV-003-4)
대상: source growth",6,원천 자료가 늘면 stale로 표시하는지 검증한다.,생성 snapshot 뒤 문서 1건 추가,2026-09-07,"예상: is_stale과 증가 항목이 반환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_staleness.py::test_stale_when_material_grew
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-007,"산출물
관련 기능: 생성 이력·다운로드(DLV-003-3)
대상: project scoped history",7,다른 프로젝트의 산출물을 열 수 없는지 검증한다.,프로젝트 A 요청·B 산출물 ID,2026-09-07,"예상: DELIVERABLE_NOT_FOUND다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_deliverable_history.py::test_delete_scopes_by_project
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-008,"산출물
관련 기능: 담길 내용 건수·본문(DLV-001-2~3)
대상: effective amount snapshot",8,count와 list가 같은 유효 금액 snapshot을 사용하는지 검증한다.,재분석·부분 승인 금액,2026-09-07,"예상: 미리보기 건수와 본문 항목 수가 같은 규칙을 쓴다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_effective_snapshot.py::test_문서마다_다른_유효_분석을_고르고_다른_프로젝트는_섞지_않는다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-DLV-009,"산출물
관련 기능: 프로젝트 현황 생성·다운로드(DLV-002-2, DLV-003-3)
대상: frontend→API→파일 E2E",9,화면에서 PROJECT_STATUS를 선택해 네 형식 생성·이력·다운로드를 시험한다.,MD·HTML·XLSX·PDF,,"예상: 네 파일이 생성되고 제목 파일명으로 재다운로드된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음
비고: 본문 절별 200행 상한이면 생략 건수 안내가 있어야 한다."
UT-SYS-001,"오류·request_id·worker
관련 기능: 오류코드 체계(SYS-003-1)
대상: exception handlers",1,모든 handler가 code·message·request_id 같은 키를 반환하는지 검증한다.,404·405·409·422,2026-09-07,"예상: 오류 응답 키가 동일하다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_error_response_format.py::test_every_handler_returns_the_same_keys
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-SYS-002,"오류·request_id·worker
관련 기능: 요청 로깅(SYS-003-1)
대상: request_id fallback",2,middleware를 거치지 않은 오류도 request_id를 갖는지 검증한다.,middleware 없는 request,2026-09-07,"예상: fallback request_id가 응답에 포함된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_error_response_format.py::test_request_id_falls_back_when_middleware_did_not_run
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-SYS-003,"오류·request_id·worker
관련 기능: 요청 로깅(SYS-003-1)
대상: retry worker request_id",3,문서 재처리 API의 request_id가 worker 로그까지 이어지는 시험을 추가한다.,X-Request-ID 고정값,,"예상: API·queue message·worker log에서 같은 값이 보인다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-SYS-004,"오류·request_id·worker
관련 기능: 로컬 sLLM 옵션(SYS-003-3)
대상: provider 오류 분류",4,Ollama 연결 실패와 schema 실패가 서로 다른 오류 코드인지 시험한다.,연결 거부·malformed JSON,,"예상: 각각 AI_PROVIDER_ERROR·AI_INVALID_RESPONSE다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-SYS-005,"오류·request_id·worker
관련 기능: 비동기 작업 큐(SYS-002-2)
대상: worker restart",5,처리 중 worker 종료·재시작 뒤 작업이 유실되지 않는 통합 시험을 추가한다.,실행 중 강제 종료,,"예상: 재시작 후 재수행 또는 명시적 실패로 수렴한다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-ISO-001,"프로젝트 데이터 격리
관련 기능: 프로젝트 금액 집계(AMT-002-2)
대상: amount project scope",1,유효 snapshot 조회가 다른 프로젝트 행을 섞지 않는지 검증한다.,동일 document id 맥락의 프로젝트 2개,2026-09-07,"예상: 요청 프로젝트 금액만 반환된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_amount_effective_snapshot.py::test_문서마다_다른_유효_분석을_고르고_다른_프로젝트는_섞지_않는다
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-ISO-002,"프로젝트 데이터 격리
관련 기능: 문서 기반 질의응답(CHAT-001)
대상: document·chunk project join",2,문서와 청크가 같은 프로젝트일 때만 컨텍스트로 쓰는지 검증한다.,다른 프로젝트 document·chunk,2026-09-07,"예상: 교차 프로젝트 근거가 제외된다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_chat_service.py::test_context_query_requires_document_and_chunk_project_to_match
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-ISO-003,"프로젝트 데이터 격리
관련 기능: 중복 파일 검사(DOC-001)
대상: duplicate project scope",3,파일 중복 검사가 프로젝트 범위를 넘지 않는지 검증한다.,같은 hash·프로젝트 2개,2026-09-07,"예상: 각 프로젝트에 한 번씩 업로드할 수 있다.
실제: 실행 불가(수집 단계: 필수 의존성 미설치)",,"구분: 자동시험 있음
증적: backend/tests/test_document_duplicate_upload.py::test_duplicate_check_is_scoped_to_requested_project
실행: pytest 수집 오류 45건(pydantic·sqlalchemy·fastapi·Pillow 등 미설치)"
UT-ISO-004,"프로젝트 데이터 격리
관련 기능: 프로젝트 스코프 강제(SYS-001-2)
대상: 직접 URL·API matrix",4,문서·OCR·분석·금액·산출물 ID를 다른 프로젝트 URL에 넣는 API 행렬 시험을 추가한다.,프로젝트 A 사용자·B 리소스 ID,,"예상: 모든 경로가 404이며 존재 여부를 노출하지 않는다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
UT-ISO-005,"프로젝트 데이터 격리
관련 기능: 멤버 제외(PRJ-004-4)
대상: 권한 캐시·즉시 차단",5,멤버 제외 직후 열린 화면과 직접 API가 모두 차단되는지 시험한다.,제외 전 로그인 세션,,"예상: 기존 토큰이어도 프로젝트 접근이 즉시 차단된다.
실제: 미실행(자동시험 없음)",,"구분: 신규 시험 필요
증적: 연결된 자동시험 없음"
